127.0.0.1 - - [15/Mar/2023:09:08:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 12524
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/css/index.css HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/mv.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/insta.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:08:30 +0900] "GET /SemiProject/layout_image/twiter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 21635
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EB%AF%B8%ED%98%B9.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EC%96%B4%EB%B0%94%EC%9B%83%20%ED%83%80%EC%9E%84.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EB%84%88%EC%9D%98%EC%9D%B4%EB%A6%84%EC%9D%80.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EC%9C%84%ED%94%8C%EB%9E%98%EC%89%AC.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EB%9F%AD%ED%82%A4.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EC%95%84%EB%B0%94%ED%83%80.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:08 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:09:37 +0900] "GET /SemiProject/movie/movie_addform.jsp HTTP/1.1" 200 5563
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 22083
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/movie_save/%EB%B7%B0%ED%8B%B0%EC%9D%B8%EC%82%AC%EC%9D%B4%EB%93%9C.jpeg HTTP/1.1" 404 897
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/movie_save/%EC%A3%BC%ED%86%A0%ED%94%BC%EC%95%84.jpeg HTTP/1.1" 404 879
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/layout_image/titlelogo.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/index.jsp?main=movie/movie_list.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/review/review_moviedetail.jsp HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:18:11 +0900] "GET /SemiProject/review/css/index.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Mar/2023:09:19:23 +0900] "GET /SemiProject/review/review_moviedetail.jsp HTTP/1.1" 200 855
